name,rank,year,rating,n_reviews,director
The Secret in Their Eyes,164,2009,8.1,212677,Juan José Campanella
Howl's Moving Castle,165,2004,8.1,405644,Hayao Miyazaki
"Three Billboards Outside Ebbing, Missouri",166,2017,8.1,520398,Martin McDonagh
Trainspotting,167,1996,8.1,696343,Danny Boyle
The Bridge on the River Kwai,168,1957,8.1,224129,David Lean
Prisoners,169,2013,8.1,735233,Denis Villeneuve
Warrior,170,2011,8.1,479049,Gavin O'Connor
Fargo,171,1996,8.1,687793,Joel Coen
Gran Torino,172,2008,8.1,784729,Clint Eastwood
My Neighbor Totoro,173,1988,8.1,347959,Hayao Miyazaki
Catch Me If You Can,174,2002,8.1,1007556,Steven Spielberg
Million Dollar Baby,175,2004,8.1,695794,Clint Eastwood
Children of Heaven,176,1997,8.1,76026,Majid Majidi
Blade Runner,177,1982,8.1,781488,Ridley Scott
The Gold Rush,178,1925,8.1,113073,Charles Chaplin
Klaus,179,2019,8.1,163727,Sergio Pablos
Harry Potter and the Deathly Hallows: Part 2,180,2011,8.1,891998,David Yates
Before Sunrise,181,1995,8.1,316694,Richard Linklater
12 Years a Slave,182,2013,8.1,711084,Steve McQueen
On the Waterfront,183,1954,8.1,157530,Elia Kazan
Ben-Hur,184,1959,8.1,243161,William Wyler
The Grand Budapest Hotel,185,2014,8.1,828042,Wes Anderson
Gone Girl,186,2014,8.1,999772,David Fincher
Wild Strawberries,187,1957,8.1,109174,Ingmar Bergman
The General,188,1926,8.1,93150,Clyde Bruckman
In the Name of the Father,189,1993,8.1,178508,Jim Sheridan
Barry Lyndon,190,1975,8.1,172075,Stanley Kubrick
The Third Man,191,1949,8.1,174236,Carol Reed
The Deer Hunter,192,1978,8.1,344441,Michael Cimino
Hacksaw Ridge,193,2016,8.1,541574,Mel Gibson
The Wages of Fear,194,1953,8.1,62683,Henri-Georges Clouzot
Memories of Murder,195,2003,8.1,192142,Bong Joon Ho
Sherlock Jr.,196,1924,8.1,51663,Buster Keaton
Wild Tales,197,2014,8.1,203079,Damián Szifron
Mr. Smith Goes to Washington,198,1939,8.1,116979,Frank Capra
Mad Max: Fury Road,199,2015,8.1,1020113,George Miller
Mary and Max,200,2009,8.1,179754,Adam Elliot
The Seventh Seal,201,1957,8.1,188379,Ingmar Bergman
How to Train Your Dragon,202,2010,8.1,753547,Dean DeBlois
"Monsters, Inc.",203,2001,8.1,923585,Pete Docter
Jaws,204,1975,8.1,617899,Steven Spielberg
Dead Poets Society,205,1989,8.1,503295,Peter Weir
Room,206,2015,8.1,428237,Lenny Abrahamson
The Big Lebowski,207,1998,8.1,820403,Joel Coen
Tokyo Story,208,1953,8.1,63415,Yasujirô Ozu
The Passion of Joan of Arc,209,1928,8.1,56666,Carl Theodor Dreyer
Ford v Ferrari,210,2019,8.0,409431,James Mangold
Hotel Rwanda,211,2004,8.0,360091,Terry George
Rocky,212,1976,8.0,591708,John G. Avildsen
Platoon,213,1986,8.0,420514,Oliver Stone
Ratatouille,214,2007,8.0,755797,Brad Bird
Spotlight,215,2015,8.0,478372,Tom McCarthy
Logan,216,2017,8.0,778627,James Mangold
The Terminator,217,1984,8.0,878397,James Cameron
Stand by Me,218,1986,8.0,412893,Rob Reiner
